Run,niche,niche_category,source_folder,my_host,my_host[number],host_category,author,exp_type_location,16S_region,doi,DNA_isolation_method,country_of_sampling,seq_platforrm,the most abundant kingdom,the most abundant phylum,the most abundant class,the most abundant order,the most abundant family,the most abundant genus,the most abundant species/strain,the most abundant ASV,Actino_enrichment
ERR8058257,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058259,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058303,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058309,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058312,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058341,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058342,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058379,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058406,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058419,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
